City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
7,Oriximina,BR,75.65,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
9,Saint-Philippe,RE,74.79,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
52,Marawi,PH,74.73,overcast clouds,7.9986,124.2928,Derogongan Residence
79,Bundaberg,AU,75.49,light rain,-24.85,152.35,Takalvan Motel
133,Hilton Head Island,US,74.98,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
143,Pacifica,US,75.43,haze,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
201,Yeppoon,AU,74.98,overcast clouds,-23.1333,150.7333,Villa Mar Colina
206,Itupiranga,BR,74.61,scattered clouds,-5.1347,-49.3267,Hotel Panorama
214,Belize,BZ,75.16,overcast clouds,17.25,-88.75,Villa San Juan
229,Saint George,US,74.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
247,Dalby,AU,74.98,broken clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
253,Cockburn Town,TC,75.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
254,Antalaha,MG,74.62,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
274,Belmonte,BR,75.96,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
307,Jacareacanga,BR,75.09,few clouds,-6.2222,-57.7528,Casa do Ian😎
354,Pedreiras,BR,75.18,overcast clouds,-4.5688,-44.6003,Hotel Princesa do Mearim
391,Pacific Grove,US,75.54,clear sky,36.6177,-121.9166,Lovers Point Inn
403,Saint-Leu,RE,74.26,clear sky,-21.15,55.2833,La Caz Oceane
404,Najran,SA,74.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
434,Mayor Pablo Lagerenza,PY,74.08,broken clouds,-19.9309,-60.7718,
445,Tessalit,ML,74.53,clear sky,20.1986,1.0114,
455,Caravelas,BR,74.03,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
465,Borba,BR,74.55,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
486,Vao,NC,75.4,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
511,Marzuq,YE,75.38,few clouds,14.4,46.4667,
569,Santa Cruz,BO,74.66,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
644,Marsh Harbour,BS,74.46,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
657,Dalbandin,PK,75.4,clear sky,28.8947,64.4101,Sanjrani House
663,Abomey,BJ,74.16,overcast clouds,7.1829,1.9912,Residence Hotel Marie Emmanuella
672,Parintins,BR,74.25,overcast clouds,-2.6283,-56.7358,Cama e Cafe
678,Carutapera,BR,75.69,moderate rain,-1.195,-46.02,Lidera
697,Si Bun Ruang,TH,74.44,overcast clouds,16.9667,102.2833,ที่พักอำเภอศรีบุญเรือง รีสอร์ทบ้านสวนอินน์ BANSUAN HOTEL
719,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
729,Tucupita,VE,75.2,scattered clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
741,Vilhena,BR,74.07,overcast clouds,-12.7406,-60.1458,Hotel Mirage
