City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2022-04-29 19:27:35,-46.1927,168.8643,45.48,94,100,3.22
1,Lvovskoye,RU,2022-04-29 19:27:35,44.9944,38.6354,59.11,71,99,10.16
2,Benghazi,LY,2022-04-29 19:27:35,32.1167,20.0667,66.24,72,5,19.62
3,Bambous Virieux,MU,2022-04-29 19:27:36,-20.3428,57.7575,72.21,88,20,1.14
4,Busselton,AU,2022-04-29 19:24:28,-33.65,115.3333,54.32,84,0,5.1
5,Haines Junction,CA,2022-04-29 19:27:36,60.7522,-137.5108,42.75,65,98,4.61
6,Port Blair,IN,2022-04-29 19:27:37,11.6667,92.75,80.64,89,75,2.3
7,Hermanus,ZA,2022-04-29 19:27:37,-34.4187,19.2345,59.81,81,77,11.59
8,Ambanja,MG,2022-04-29 19:27:37,-13.6833,48.45,74.98,93,33,2.95
9,Shenjiamen,CN,2022-04-29 19:27:38,29.9576,122.298,55.06,78,100,10.89
10,Torbay,CA,2022-04-29 19:27:38,47.6666,-52.7314,47.88,93,100,3.44
11,Watrous,CA,2022-04-29 19:27:39,51.6668,-105.4679,58.78,41,100,11.5
12,Bethel,US,2022-04-29 19:27:39,41.3712,-73.414,61.63,23,0,17.27
13,Nikolskoye,RU,2022-04-29 19:27:39,59.7035,30.7861,36.81,78,100,5.37
14,Jamestown,US,2022-04-29 19:27:40,42.097,-79.2353,59.52,33,0,7.0
15,Portland,US,2022-04-29 19:24:44,45.5234,-122.6762,60.01,68,75,7.0
16,Cape Town,ZA,2022-04-29 19:25:31,-33.9258,18.4232,60.12,86,75,8.05
17,Kapaa,US,2022-04-29 19:27:40,22.0752,-159.319,78.48,79,40,11.5
18,Punta Arenas,CL,2022-04-29 19:27:41,-53.15,-70.9167,46.51,57,40,13.8
19,Puerto Ayora,EC,2022-04-29 19:27:41,-0.7393,-90.3518,78.76,78,82,10.36
20,Barrow,US,2022-04-29 19:27:42,71.2906,-156.7887,10.42,85,0,12.66
21,Chimoio,MZ,2022-04-29 19:27:42,-19.1164,33.4833,64.26,82,0,3.0
22,Abnub,EG,2022-04-29 19:27:42,27.2696,31.1511,91.62,8,10,6.04
23,Souillac,MU,2022-04-29 19:27:43,-20.5167,57.5167,71.98,88,20,1.14
24,Fort Nelson,CA,2022-04-29 19:27:43,58.8053,-122.7002,38.79,60,75,6.91
25,Saint-Philippe,RE,2022-04-29 19:27:44,-21.3585,55.7679,75.22,83,52,14.58
26,Cidreira,BR,2022-04-29 19:27:44,-30.1811,-50.2056,65.53,58,0,10.11
27,Ushuaia,AR,2022-04-29 19:27:45,-54.8,-68.3,46.02,70,75,18.41
28,Qaanaaq,GL,2022-04-29 19:27:45,77.484,-69.3632,15.06,74,15,1.79
29,Huilong,CN,2022-04-29 19:27:45,31.8111,121.655,51.93,84,65,6.15
30,Castro,BR,2022-04-29 19:27:46,-24.7911,-50.0119,66.0,89,93,8.66
31,Hilo,US,2022-04-29 19:27:46,19.7297,-155.09,76.62,82,100,3.44
32,Rikitea,PF,2022-04-29 19:27:47,-23.1203,-134.9692,77.16,71,99,15.46
33,Hobart,AU,2022-04-29 19:27:47,-42.8794,147.3294,57.06,83,100,5.75
34,Vaini,TO,2022-04-29 19:27:47,-21.2,-175.2,77.16,88,100,9.22
35,Yellowknife,CA,2022-04-29 19:27:48,62.456,-114.3525,30.72,59,20,9.22
36,Iralaya,HN,2022-04-29 19:27:48,15.0,-83.2333,83.26,63,21,9.42
37,Rumonge,BI,2022-04-29 19:27:49,-3.9736,29.4386,70.36,92,100,8.12
38,Roros,NO,2022-04-29 19:27:49,62.5747,11.3842,31.84,74,100,10.36
39,Kimbe,PG,2022-04-29 19:27:49,-5.5502,150.1429,74.82,93,40,3.04
40,La Grande,US,2022-04-29 19:27:50,45.3246,-118.0877,53.02,58,100,1.57
41,Morro Bay,US,2022-04-29 19:27:50,35.3658,-120.8499,77.07,53,0,10.0
42,Namatanai,PG,2022-04-29 19:27:51,-3.6667,152.4333,78.48,81,74,4.68
43,Naze,JP,2022-04-29 19:27:51,28.3667,129.4833,63.52,75,85,12.77
44,Kotido,UG,2022-04-29 19:27:51,2.9806,34.1331,72.23,64,95,5.5
45,Cabo San Lucas,MX,2022-04-29 19:25:02,22.8909,-109.9124,89.62,26,0,11.5
46,Kamennomostskiy,RU,2022-04-29 19:28:52,44.2983,40.1856,54.55,97,19,2.3
47,East London,ZA,2022-04-29 19:28:52,-33.0153,27.9116,65.07,74,34,18.59
48,Bluff,NZ,2022-04-29 19:28:53,-46.6,168.3333,45.81,89,100,8.55
49,Atuona,PF,2022-04-29 19:28:53,-9.8,-139.0333,78.93,73,19,17.45
50,Batagay-Alyta,RU,2022-04-29 19:28:54,67.8006,130.4114,-3.69,92,49,5.97
51,Tezu,IN,2022-04-29 19:28:54,27.9167,96.1667,71.01,76,100,7.02
52,Zhigansk,RU,2022-04-29 19:28:55,66.7697,123.3711,25.41,92,100,16.15
53,Narsaq,GL,2022-04-29 19:28:55,60.9167,-46.05,52.02,70,78,4.97
54,Husavik,IS,2022-04-29 19:28:55,66.0449,-17.3389,49.14,68,13,1.9
55,Nizwa,OM,2022-04-29 19:28:56,22.9333,57.5333,87.76,27,0,4.0
56,Luwuk,ID,2022-04-29 19:28:56,-0.9516,122.7875,76.89,88,99,3.4
57,Urumqi,CN,2022-04-29 19:28:57,43.801,87.6005,52.75,38,0,4.47
58,Asfi,MA,2022-04-29 19:28:57,32.2994,-9.2372,65.61,66,87,21.21
59,Khatanga,RU,2022-04-29 19:28:57,71.9667,102.5,21.74,96,100,7.74
60,Chokurdakh,RU,2022-04-29 19:28:58,70.6333,147.9167,0.1,100,99,7.61
61,Lebu,CL,2022-04-29 19:28:58,-37.6167,-73.65,52.97,63,100,20.24
62,Muborak,UZ,2022-04-29 19:28:59,39.2553,65.1528,77.81,27,38,10.2
63,Arraial Do Cabo,BR,2022-04-29 19:28:59,-22.9661,-42.0278,78.76,89,40,14.97
64,Broome,US,2022-04-29 19:28:59,42.2506,-75.833,55.69,24,0,17.27
65,Vestmanna,FO,2022-04-29 19:29:00,62.1564,-7.1664,45.52,81,75,3.44
66,Olafsvik,IS,2022-04-29 19:29:00,64.8945,-23.7142,45.91,86,90,9.57
67,Saldanha,ZA,2022-04-29 19:29:01,-33.0117,17.9442,57.25,83,99,5.53
68,Trinidad,BO,2022-04-29 19:26:49,-14.8333,-64.9,84.18,65,75,6.91
69,Seoul,KR,2022-04-29 19:29:01,37.5683,126.9778,53.17,60,0,5.75
70,Avarua,CK,2022-04-29 19:29:02,-21.2078,-159.775,82.45,74,40,16.11
71,Ribeira Grande,PT,2022-04-29 19:29:02,38.5167,-28.7,64.8,88,20,10.36
72,Dudinka,RU,2022-04-29 19:29:03,69.4058,86.1778,-7.02,100,95,1.81
73,Udachnyy,RU,2022-04-29 19:29:03,66.4167,112.4,35.46,93,100,15.01
74,Poum,NC,2022-04-29 19:29:03,-20.2333,164.0167,75.22,74,82,11.65
75,Faanui,PF,2022-04-29 19:29:04,-16.4833,-151.75,82.06,70,0,22.86
76,Bilibino,RU,2022-04-29 19:29:04,68.0546,166.4372,17.26,94,100,3.44
77,Bintulu,MY,2022-04-29 19:29:05,3.1667,113.0333,77.41,100,40,0.0
78,Port Arthur,CN,2022-04-29 19:29:05,38.8,121.2667,53.82,86,100,8.32
79,Lorengau,PG,2022-04-29 19:29:06,-2.0226,147.2712,80.29,80,93,0.63
80,Thompson,CA,2022-04-29 19:24:11,55.7435,-97.8558,48.36,53,40,2.3
81,Butaritari,KI,2022-04-29 19:29:06,3.0707,172.7902,81.07,73,100,14.07
82,Kodinsk,RU,2022-04-29 19:29:07,58.6881,99.1844,40.75,98,100,4.41
83,Smithers,CA,2022-04-29 19:26:46,54.7804,-127.1743,50.32,40,20,6.91
84,Port Alfred,ZA,2022-04-29 19:29:07,-33.5906,26.891,62.19,80,18,5.99
85,Neiafu,TO,2022-04-29 19:29:08,-18.65,-173.9833,81.28,83,75,12.66
86,Half Moon Bay,US,2022-04-29 19:29:09,37.4636,-122.4286,73.54,59,0,16.11
87,Novokayakent,RU,2022-04-29 19:29:09,42.3937,47.9861,61.86,73,100,5.17
88,College,US,2022-04-29 19:29:10,64.8569,-147.8028,47.98,51,20,0.0
89,New Norfolk,AU,2022-04-29 19:29:10,-42.7826,147.0587,56.7,75,100,3.0
