City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Mataura,NZ,2022-05-02 00:18:14,-46.1927,168.8643,62.47,72,13,4.18,few clouds
1,Cherskiy,RU,2022-05-02 00:18:15,68.75,161.3,28.45,85,16,11.72,few clouds
2,Ancud,CL,2022-05-02 00:18:15,-41.8697,-73.8203,50.32,91,41,4.14,scattered clouds
3,Wanning,CN,2022-05-02 00:18:16,18.8003,110.3967,69.58,94,100,16.08,overcast clouds
4,Jasper,US,2022-05-02 00:18:16,37.2001,-94.3502,71.11,42,40,5.75,scattered clouds
5,Port Alfred,ZA,2022-05-02 00:18:17,-33.5906,26.891,56.17,93,2,8.48,clear sky
6,Tasiilaq,GL,2022-05-02 00:18:17,65.6145,-37.6368,19.81,57,88,4.92,overcast clouds
7,Oriximina,BR,2022-05-02 00:18:18,-1.7656,-55.8661,75.65,94,63,2.57,broken clouds
8,Sibolga,ID,2022-05-02 00:18:18,1.7427,98.7792,76.71,86,100,3.33,overcast clouds
9,Saint-Philippe,RE,2022-05-02 00:10:19,-21.3585,55.7679,74.79,84,2,2.91,clear sky
10,Yellowknife,CA,2022-05-02 00:18:19,62.456,-114.3525,45.12,49,0,12.66,clear sky
11,Jamestown,US,2022-05-02 00:16:51,42.097,-79.2353,56.79,93,100,13.8,overcast clouds
12,Chuy,UY,2022-05-02 00:09:41,-33.6971,-53.4616,51.66,80,0,7.83,clear sky
13,Albany,US,2022-05-02 00:05:32,42.6001,-73.9662,63.01,53,100,2.33,overcast clouds
14,Souillac,MU,2022-05-02 00:18:20,-20.5167,57.5167,71.98,94,20,1.14,few clouds
15,Butaritari,KI,2022-05-02 00:18:20,3.0707,172.7902,81.46,79,88,13.35,light rain
16,Dharampuri,IN,2022-05-02 00:18:21,22.1667,75.35,86.63,51,2,13.78,clear sky
17,Kaeo,NZ,2022-05-02 00:18:21,-35.1,173.7833,70.32,75,83,8.77,broken clouds
18,Sioux Lookout,CA,2022-05-02 00:18:22,50.1001,-91.917,37.47,100,100,3.44,light intensity drizzle
19,Port Blair,IN,2022-05-02 00:18:22,11.6667,92.75,78.84,94,75,2.3,mist
20,Upernavik,GL,2022-05-02 00:18:23,72.7868,-56.1549,0.75,88,50,3.22,scattered clouds
21,Ushuaia,AR,2022-05-02 00:18:23,-54.8,-68.3,38.86,81,20,6.91,few clouds
22,Apatity,RU,2022-05-02 00:18:24,67.5641,33.4031,24.21,88,96,3.47,overcast clouds
23,Vila Velha,BR,2022-05-02 00:18:24,-20.3297,-40.2925,78.75,77,0,10.0,clear sky
24,Maragogi,BR,2022-05-02 00:18:25,-9.0122,-35.2225,76.86,87,72,5.82,broken clouds
25,Tilichiki,RU,2022-05-02 00:18:25,60.4667,166.1,24.87,84,17,4.88,few clouds
26,Vaini,TO,2022-05-02 00:18:25,-21.2,-175.2,82.56,83,75,14.97,broken clouds
27,Ayagoz,KZ,2022-05-02 00:18:26,47.9714,80.4392,62.08,30,100,0.96,overcast clouds
28,Bengkulu,ID,2022-05-02 00:07:15,-3.8004,102.2655,76.6,86,95,4.18,overcast clouds
29,Taoudenni,ML,2022-05-02 00:18:27,22.6783,-3.9836,78.91,21,49,9.71,scattered clouds
30,Bredasdorp,ZA,2022-05-02 00:10:18,-34.5322,20.0403,55.15,94,53,4.16,broken clouds
31,Busselton,AU,2022-05-02 00:07:19,-33.65,115.3333,62.2,81,68,0.43,light rain
32,Sao Felix Do Xingu,BR,2022-05-02 00:18:27,-6.6447,-51.995,77.16,81,59,2.55,broken clouds
33,Faanui,PF,2022-05-02 00:18:28,-16.4833,-151.75,81.21,72,18,9.42,few clouds
34,Hobart,AU,2022-05-02 00:05:53,-42.8794,147.3294,65.26,63,75,4.61,broken clouds
35,Airai,TL,2022-05-02 00:18:28,-8.9266,125.4092,69.26,56,69,5.06,broken clouds
36,Ahipara,NZ,2022-05-02 00:18:29,-35.1667,173.1667,68.18,62,97,7.43,overcast clouds
37,Mahebourg,MU,2022-05-02 00:18:29,-20.4081,57.7,73.26,94,20,1.14,few clouds
